brand,model,submodel,year,age,mileage,mileage_per_year,mileage_missing,gear,engine,color,price,priceType,sourceName,sourceType,sourceUrl,externalId,dateRecorded,created_at,updated_at,id
HONDA,JAZZ,UNKNOWN,2014,11,102341,9303.727273,0,AUTO,UNKNOWN,เทา,238000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1152
HONDA,JAZZ,UNKNOWN,2014,11,223231,20293.72727,0,AUTO,UNKNOWN,ดำ,199000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1676
HONDA,JAZZ,UNKNOWN,2015,10,160000,16000,0,AUTO,UNKNOWN,ขาว,299000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1400
HONDA,JAZZ,UNKNOWN,2015,10,115899,11589.9,0,AUTO,UNKNOWN,ขาว,348000,UNKNOWN,UNKNOWN,UNKNOWN,,,11/27/2025,11/27/2025 12:00,11/27/2025 12:00,1731
HONDA,MOBILIO,RS,2014,11,100000,9090.909091,1,AT,UNKNOWN,UNKNOWN,228500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17110
HONDA,MOBILIO,RS,2015,10,100000,10000,1,AT,UNKNOWN,UNKNOWN,241000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17105
HONDA,MOBILIO,RS,2016,9,100000,11111.11111,1,AT,UNKNOWN,UNKNOWN,244500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17101
HONDA,MOBILIO,RS,2017,8,100000,12500,1,UNKNOWN,UNKNOWN,UNKNOWN,273500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17096
HONDA,MOBILIO,RS,2016,9,100000,11111.11111,1,UNKNOWN,UNKNOWN,UNKNOWN,263500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17102
HONDA,MOBILIO,RS,2017,8,100000,12500,1,AT,UNKNOWN,UNKNOWN,287000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17097
HONDA,MOBILIO,RS,2018,7,100000,14285.71429,1,AT,UNKNOWN,UNKNOWN,293500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17092
HONDA,MOBILIO,RS,2019,6,100000,16666.66667,1,AT,UNKNOWN,UNKNOWN,307500,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17089
HONDA,MOBILIO,RS,2020,5,100000,20000,1,UNKNOWN,UNKNOWN,UNKNOWN,323000,CURRENT BID,APPLEAUCTION,AUCTION,,,11/27/2025,11/27/2025 14:00,11/27/2025 14:00,17086
